Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-09-13,11820,11553.940622457087,11517.910729652704,36.02989280438305,-40.222122458213846,76.2520152625969,11.822602151636602,71.10772842549967,1. 상승 추세 / 추세 확대중
2024-09-19,11730,11581.026680540612,11533.621045974725,47.40563456588643,-22.696571053393793,70.10220561928023,36.02989280438305,76.2520152625969,2. 상승 추세 / 눌림목
2024-09-20,11550,11576.253345072826,11534.834301828449,41.41904324437746,-9.873448193839543,51.292491438217006,47.40563456588643,70.10220561928023,2. 상승 추세 / 눌림목
2024-09-23,11500,11564.522061215468,11532.253983174489,32.26807804097916,-1.4451429468758026,33.71322098785497,41.41904324437746,51.292491438217006,2. 상승 추세 / 눌림목
2024-09-24,11650,11577.672513336165,11540.97591034675,36.696602989415624,6.183206240382483,30.51339674903314,32.26807804097916,33.71322098785497,2. 상승 추세 / 눌림목
2024-09-25,11890,11625.722895899831,11566.82954661736,58.89334928247081,16.72523484880015,42.16811443367066,36.696602989415624,30.51339674903314,1. 상승 추세 / 추세 확대중
2024-09-26,12050,11690.996296530626,11602.61995057163,88.37634595899544,31.055457070839207,57.32088888815623,58.89334928247081,42.16811443367066,1. 상승 추세 / 추세 확대중
2024-09-27,12470,11810.8430201413,11666.870324603362,143.9726955379374,53.63890476425885,90.33379077367854,88.37634595899544,57.32088888815623,1. 상승 추세 / 추세 확대중
2024-09-30,12460,11910.713324734947,11725.620670929038,185.0926538059084,79.92965457258876,105.16299923331965,143.9726955379374,90.33379077367854,1. 상승 추세 / 추세 확대중
2024-10-02,12430,11990.603582468031,11777.796917526886,212.80666494114485,106.50505664629998,106.30160829484487,185.0926538059084,105.16299923331965,1. 상승 추세 / 추세 확대중
2024-10-04,11870,11972.049185165257,11784.626775487857,187.42240967739963,122.68852725251992,64.73388242487971,212.80666494114485,106.30160829484487,2. 상승 추세 / 눌림목
2024-10-07,11830,11950.195464370601,11787.987755081349,162.2077092892523,130.5923636598664,31.6153456293859,187.42240967739963,64.73388242487971,2. 상승 추세 / 눌림목
2024-10-08,11460,11874.780777544354,11763.692365816063,111.08841172829125,126.69157327355138,-15.603161545260136,162.2077092892523,31.6153456293859,9. 분류 미정
2024-10-10,11390,11800.199119460607,11736.011449829688,64.18766963091912,114.19079254502493,-50.003122914105816,111.08841172829125,-15.603161545260136,9. 분류 미정
2024-10-11,11230,11712.476178005129,11698.529120212674,13.94705779245487,94.14204559451093,-80.19498780205606,64.18766963091912,-50.003122914105816,9. 분류 미정
2024-10-14,11190,11632.0952275428,11660.860296493216,-28.765068950415298,69.56062268552569,-98.32569163594098,13.94705779245487,-80.19498780205606,5. 하락추세 / 추세 확대중
2024-10-15,11130,11554.849807920831,11621.537311567792,-66.68750364696098,42.310997419028354,-108.99850106598933,-28.765068950415298,-98.32569163594098,5. 하락추세 / 추세 확대중
2024-10-16,11200,11500.257529779165,11590.312325525734,-90.05479574656965,15.837838785908755,-105.89263453247841,-66.68750364696098,-108.99850106598933,6. 하락추세 / 일시적 반등
2024-10-17,11040,11429.448679043908,11549.548449560865,-120.0997705169575,-11.349683074664497,-108.75008744229301,-90.05479574656965,-105.89263453247841,5. 하락추세 / 추세 확대중
2024-10-18,11000,11363.379651498692,11508.841157000801,-145.4615055021095,-38.1720475601535,-107.289457941956,-120.0997705169575,-108.75008744229301,6. 하락추세 / 일시적 반등
2024-10-21,10960,11301.321243575816,11468.186256482224,-166.86501290640808,-63.91064062940442,-102.95437227700367,-145.4615055021095,-107.289457941956,6. 하락추세 / 일시적 반등
2024-10-22,10770,11219.57951379492,11416.46875600206,-196.88924220713852,-90.50636094495124,-106.38288126218728,-166.86501290640808,-102.95437227700367,5. 하락추세 / 추세 확대중
2024-10-23,10780,11151.95189628801,11369.32292222413,-217.37102593611962,-115.87929394318492,-101.4917319929347,-196.88924220713852,-106.38288126218728,6. 하락추세 / 일시적 반등
2024-10-24,10810,11099.343912243701,11327.891594651972,-228.5476824082707,-138.4129716362021,-90.13471077206862,-217.37102593611962,-101.4917319929347,6. 하락추세 / 일시적 반등
2024-10-25,10650,11030.214079590824,11277.677402455529,-247.46332286470533,-160.22304188190273,-87.2402809828026,-228.5476824082707,-90.13471077206862,6. 하락추세 / 일시적 반등
2024-10-28,10980,11022.488836576851,11255.62722449586,-233.1383879190089,-174.80611108932396,-58.33227682968493,-247.46332286470533,-87.2402809828026,6. 하락추세 / 일시적 반등
2024-10-29,11120,11037.490554026566,11245.580763422093,-208.09020939552647,-181.46293075056448,-26.62727864496199,-233.1383879190089,-58.33227682968493,6. 하락추세 / 일시적 반등
2024-10-30,11190,11060.953545714787,11241.463669835272,-180.51012412048476,-181.27236942454854,0.7622453040637822,-208.09020939552647,-26.62727864496199,9. 분류 미정
2024-10-31,11460,11122.345307912512,11257.65154614377,-135.30623823125825,-172.0791431858905,36.77290495463225,-180.51012412048476,0.7622453040637822,9. 분류 미정
2024-11-01,11400,11165.06141438751,11268.195876059046,-103.13446167153597,-158.2902068830196,55.155745211483634,-135.30623823125825,36.77290495463225,9. 분류 미정
2024-11-04,11540,11222.74427371251,11288.329514869487,-65.58524115697765,-139.74921373781123,74.16397258083359,-103.13446167153597,55.155745211483634,9. 분류 미정
2024-11-05,11200,11219.245154679815,11281.786587842118,-62.54143316230329,-124.30765762270966,61.76622446040636,-65.58524115697765,74.16397258083359,6. 하락추세 / 일시적 반등
2024-11-06,11180,11213.207438575228,11274.246840594555,-61.0394020193271,-111.65400650203316,50.614604482706056,-62.54143316230329,61.76622446040636,6. 하락추세 / 일시적 반등
2024-11-07,11220,11214.252448025192,11270.228556106069,-55.97610808087666,-100.51842681780187,44.54231873692521,-61.0394020193271,50.614604482706056,6. 하락추세 / 일시적 반등
2024-11-08,11250,11219.752071405932,11268.730144542656,-48.97807313672456,-90.21035608158641,41.23228294486185,-55.97610808087666,44.54231873692521,6. 하락추세 / 일시적 반등
2024-11-11,10860,11164.405598881942,11238.453837539497,-74.04823865755498,-86.97793259678014,12.92969393922516,-48.97807313672456,41.23228294486185,6. 하락추세 / 일시적 반등
2024-11-12,10430,11051.420122130874,11178.568368092127,-127.14824596125254,-95.01199526967461,-32.13625069157793,-74.04823865755498,12.92969393922516,5. 하락추세 / 추세 확대중
2024-11-13,10350,10943.50933411074,11117.192933418635,-173.68359930789484,-110.74631607731867,-62.93728323057617,-127.14824596125254,-32.13625069157793,5. 하락추세 / 추세 확대중
2024-11-14,10280,10841.43097501678,11055.178642054292,-213.74766703751266,-131.34658626935746,-82.4010807681552,-173.68359930789484,-62.93728323057617,5. 하락추세 / 추세 확대중
2024-11-15,10450,10781.210825014197,11010.350594494716,-229.13976948051823,-150.90522291158962,-78.23454656892861,-213.74766703751266,-82.4010807681552,6. 하락추세 / 일시적 반등
