Sector	Code	Name	ChagesRatio	Marcap	Amount	MACD
IT하드웨어/반도체	004710	한솔테크닉스	7.52	1708	10	2. 상승 추세 / 눌림목
IT하드웨어/반도체	058470	리노공업	7.39	33190	257	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	093520	매커스	5.83	2300	73	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	102120	어보브반도체	5.66	1952	18	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	007660	이수페타시스	5.12	29877	333	2. 상승 추세 / 눌림목
IT하드웨어/반도체	000660	SK하이닉스	4.82	1607065	6315	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	218410	RFHIC	4.31	5760	78	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	389020	자람테크놀로지	3.83	2510	13	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	119830	아이텍	2.74	1320	11	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	450950	아스테라시스	2.5	4622	26	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	108320	LX세미콘	2.32	9986	14	2. 상승 추세 / 눌림목
IT하드웨어/반도체	005930	삼성전자	1.76	3397872	5957	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	000990	DB하이텍	1.3	18758	45	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	126730	코칩	1.01	1113	10	2. 상승 추세 / 눌림목
IT하드웨어/반도체	222800	심텍	1.01	5870	23	2. 상승 추세 / 눌림목
IT하드웨어/반도체	214430	아이쓰리시스템	-0.12	5848	20	1. 상승 추세 / 추세 확대중
IT하드웨어/반도체	464080	에스오에스랩	-1.09	2408	57	2. 상승 추세 / 눌림목
가전제품	264850	이랜시스	3.96	1523	10	1. 상승 추세 / 추세 확대중
건설	000210	DL	12.39	9828	50	1. 상승 추세 / 추세 확대중
건설	010780	아이에스동서	9.46	6746	17	1. 상승 추세 / 추세 확대중
건설	151860	KG에코솔루션	7.39	3041	17	1. 상승 추세 / 추세 확대중
건설	047040	대우건설	5.52	17934	51	1. 상승 추세 / 추세 확대중
건설	012630	HDC	4.87	12247	29	2. 상승 추세 / 눌림목
건설	000720	현대건설	4.72	74162	621	2. 상승 추세 / 눌림목
건설	028260	삼성물산	4.3	267033	605	2. 상승 추세 / 눌림목
건설	006360	GS건설	2.44	19769	67	2. 상승 추세 / 눌림목
건설	375500	DL이앤씨	2.37	19172	46	2. 상승 추세 / 눌림목
건설	028050	삼성E&A	1.86	42826	87	2. 상승 추세 / 눌림목
건설	294870	HDC현대산업개발	0.64	15652	17	2. 상승 추세 / 눌림목
건자재	018310	삼목에스폼	10.33	3377	11	1. 상승 추세 / 추세 확대중
건자재	002380	KCC	7.62	28214	71	1. 상승 추세 / 추세 확대중
건자재	300720	한일시멘트	4.32	13055	11	1. 상승 추세 / 추세 확대중
건자재	023410	유진기업	3.35	2736	12	1. 상승 추세 / 추세 확대중
건자재	011390	부산산업	-0.2	1063	14	2. 상승 추세 / 눌림목
건자재	225190	LK삼양	-2.97	1476	196	2. 상승 추세 / 눌림목
게임	095660	네오위즈	2.73	5693	13	1. 상승 추세 / 추세 확대중
게임	225570	넥슨게임즈	2.16	9042	30	1. 상승 추세 / 추세 확대중
게임	058630	엠게임	0.57	1039	11	1. 상승 추세 / 추세 확대중
게임	036570	엔씨소프트	0.0	36172	152	1. 상승 추세 / 추세 확대중
게임	251270	넷마블	-0.73	47532	39	1. 상승 추세 / 추세 확대중
게임	194480	데브시스터즈	-1.52	5180	14	1. 상승 추세 / 추세 확대중
게임	293490	카카오게임즈	-1.98	13664	36	2. 상승 추세 / 눌림목
기타	006730	서부T&D	1.58	5616	37	1. 상승 추세 / 추세 확대중
기타금융	007330	푸른저축은행	5.07	1392	10	1. 상승 추세 / 추세 확대중
기타금융	012030	DB	4.81	3005	22	1. 상승 추세 / 추세 확대중
기타금융	034830	한국토지신탁	4.32	3092	12	1. 상승 추세 / 추세 확대중
기타금융	034310	NICE	-0.17	4451	14	2. 상승 추세 / 눌림목
기타금융	012700	리드코프	-4.14	1412	22	2. 상승 추세 / 눌림목
디스플레이 소재	102710	이엔에프테크놀로지	3.99	4293	29	1. 상승 추세 / 추세 확대중
디스플레이 소재	213420	덕산네오룩스	-4.96	9460	60	2. 상승 추세 / 눌림목
디스플레이 장비	161580	필옵틱스	3.79	8067	78	1. 상승 추세 / 추세 확대중
로봇	117730	티로보틱스	10.17	2344	95	1. 상승 추세 / 추세 확대중
로봇	108490	로보티즈	8.79	8918	582	1. 상승 추세 / 추세 확대중
로봇	388720	유일로보틱스	6.42	9037	119	1. 상승 추세 / 추세 확대중
로봇	090360	로보스타	6.05	2539	29	2. 상승 추세 / 눌림목
로봇	058610	에스피지	5.8	5865	65	1. 상승 추세 / 추세 확대중
로봇	056080	유진로봇	4.17	4257	143	2. 상승 추세 / 눌림목
로봇	090710	휴림로봇	4.16	2320	46	1. 상승 추세 / 추세 확대중
로봇	270660	에브리봇	2.38	2113	20	2. 상승 추세 / 눌림목
로봇	160190	하이젠알앤엠	0.92	11721	76	1. 상승 추세 / 추세 확대중
미디어	461300	아이스크림미디어	6.81	2366	16	1. 상승 추세 / 추세 확대중
미디어	214320	이노션	2.67	7368	10	1. 상승 추세 / 추세 확대중
미디어	030000	제일기획	1.37	21455	33	1. 상승 추세 / 추세 확대중
