index,Code,Name,Sector,MarketCap,Sales (2025),OpIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,DivYield,DivPayout,Change5,Change20,Change120,Change240
536,047040,대우건설,건설,14027,87629.0,3852.0,2.43,5.14,-7.79,-10.83,5.91,5.41,-16.57,-4.44,2.35,,
52,001520,동양,건설,1432,,,2.56,8.89,-20.84,-35.28,,,,,,,
97,003120,일성아이에스,건설,2108,,,3.39,3.39,-0.81,-20.19,,,,,,6.31,101.52
293,013120,동원개발,건설,2152,,,3.49,3.95,-7.06,-11.73,,,,,,3.38,39.6
191,006360,GS건설,건설,14754,125900.0,4241.0,3.54,0.7,-5.79,10.23,5.91,5.5,-2.13,48.29,2.16,1.74,10.46
273,011560,세보엠이씨,건설,1065,,,3.69,1.81,-1.27,6.53,,,,,,5.43,16.53
260,010780,아이에스동서,건설,5545,11764.0,1243.0,4.55,10.2,-9.06,-31.84,17.56,2.34,-22.33,-26.75,-120.54,5.44,-20.37
388,026150,특수건설,건설,1458,,,4.66,24.4,31.07,15.42,,,,,,,
8,000210,DL,건설,6747,56376.0,3515.0,6.45,-3.16,-19.9,-39.59,11.82,1.51,0.4,-14.79,-18.78,3.11,25.34
278,011930,신성이엔지,건설,2962,,,9.76,22.16,-0.55,-33.99,,,,,,,
933,151860,KG에코솔루션,건설,2803,,,10.02,15.12,10.44,-36.63,,,,,,2.1,7.33
849,109610,에스와이,건자재,1846,,,0.67,-15.55,-1.18,-19.6,,,,,,,
489,038500,삼표시멘트,건자재,3366,7450.0,880.0,0.81,3.65,1.79,6.67,8.02,5.55,-5.79,-15.3,-36.46,3.53,17.94
14,000390,삼화페인트,건자재,1629,,,1.7,-0.17,-16.92,-23.3,,,,,,5.84,61.51
847,108670,LX하우시스,건자재,2636,35300.0,975.0,2.26,0.0,-26.5,-32.18,5.57,5.94,-1.18,0.0,19.19,3.4,22.57
1012,213500,한솔제지,건자재,2004,22820.0,1066.0,2.31,1.94,-10.23,-22.04,2.96,10.18,2.99,384.55,-322.37,5.94,-39.15
323,016590,신대양제지,건자재,3163,,,2.61,13.11,33.28,38.2,,,,,,2.55,22.94
75,002380,KCC,건자재,22127,68940.0,4842.0,2.68,-5.86,-4.23,-2.35,6.97,6.13,3.53,2.78,9.27,4.02,28.61
151,004980,성신양회,건자재,2338,10940.0,400.0,3.02,33.99,18.95,11.58,11.47,3.62,-5.9,-24.81,-53.74,3.67,19.55
930,147830,제룡산업,건자재,1214,,,3.58,14.96,-1.62,-5.45,,,,,,3.29,64.1
962,183190,아세아시멘트,건자재,4044,10710.0,1410.0,3.64,7.02,0.37,6.91,4.83,7.32,-3.54,0.14,4.87,2.4,12.31
339,017960,한국카본,건자재,10251,8392.0,887.0,4.61,44.9,84.41,71.44,15.77,12.91,13.15,95.37,195.57,0.66,33.25
364,023410,유진기업,건자재,2678,,,4.68,6.78,0.87,-2.26,,,,,,4.91,-22.79
345,018310,삼목에스폼,건자재,3123,,,4.94,5.72,-2.75,3.41,,,,,,0.94,4.01
385,025900,동화기업,건자재,4489,9470.0,390.0,5.97,0.0,-21.07,-60.62,22.42,2.24,3.16,133.53,-254.32,,
755,090350,노루페인트,건자재,1658,,,6.42,9.08,-0.12,-11.9,,,,,,4.22,20.36
448,034810,해성산업,건자재,2145,,,6.98,3.94,-2.08,-11.66,,,,,,3.41,130.81
207,007210,벽산,건자재,1688,6807.0,361.0,8.14,16.09,26.25,12.72,6.59,9.2,5.85,40.47,,1.47,15.48
892,126600,BGF에코머티리얼즈,건자재,1851,,,10.07,10.07,-12.2,-26.16,,,,,,1.69,19.61
1137,290690,소룩스,건자재,1973,,,14.01,-2.98,-53.75,-70.78,,,,,,,
976,194480,데브시스터즈,게임,4728,2417.0,300.0,0.26,-8.45,8.33,-21.45,15.85,17.06,2.33,10.29,5.3,,
993,204610,티쓰리,게임,1069,,,1.09,-1.19,19.47,38.58,,,,,,3.61,34.29
686,078340,컴투스,게임,5056,7945.0,448.0,1.28,-13.6,-1.85,-0.38,15.02,3.46,14.5,634.43,-118.75,3.27,-15.36
1090,263750,펄어비스,게임,22358,5558.0,1190.0,3.11,11.9,-9.49,9.95,18.26,14.19,62.32,-1067.48,102.99,,
970,192080,더블유게임즈,게임,12166,6993.0,2676.0,4.24,11.64,11.86,27.19,6.66,15.42,10.39,7.6,-2.75,2.12,13.78
617,063080,컴투스홀딩스,게임,1345,,,5.32,-9.13,-11.5,-32.23,,,,,,,
473,036570,엔씨소프트,게임,31648,15878.0,676.0,6.06,-7.67,-31.36,-17.47,20.73,4.86,0.61,-161.9,64.08,0.99,34.02
1038,225570,넥슨게임즈,게임,9029,2154.0,-20.0,7.7,6.69,-8.17,1.33,-548.4,-0.54,-15.89,-105.17,-105.41,,
270,011280,태림포장,기타,1522,,,0.23,6.97,4.37,-24.16,,,,,,,
672,072870,메가스터디,기타,1263,,,0.47,2.22,-5.02,-4.85,,,,,,7.55,59.22
395,027970,한국제지,기타,1587,,,0.6,6.37,-12.2,-19.56,,,,,,,
122,003720,삼영,기타,1387,1424.0,147.0,2.0,4.62,-7.8,6.25,,,13.02,61.54,,0.49,8.44
582,054050,농우바이오,기타,1221,,,2.42,1.74,5.39,-5.34,,,,,,2.89,32.54
875,121440,골프존홀딩스,기타,1998,,,2.75,6.75,21.17,20.7,,,,,,5.36,24.56
402,029480,광무,기타,1727,,,19.85,43.05,-14.09,-7.51,,,,,,,
1054,234340,헥토파이낸셜,기타금융,1323,1801.0,166.0,0.5,9.29,-15.41,-24.49,8.94,10.27,13.06,24.81,61.11,2.5,34.08
551,049720,고려신용정보,기타금융,1399,,,0.62,0.93,0.62,-11.0,,,,,,4.6,48.6
887,123890,한국자산신탁,기타금융,2832,2020.0,580.0,0.87,-3.74,-20.85,-24.72,6.93,3.87,-10.78,11.97,9.63,4.32,33.11
450,034950,한국기업평가,기타금융,4068,,,1.36,1.59,5.54,5.04,,,,,,4.41,73.48
404,029780,삼성카드,기타금융,47791,42540.0,8390.0,1.6,1.73,4.3,2.74,7.25,7.62,52.48,-5.24,-0.77,6.79,48.81
449,034830,한국토지신탁,기타금융,2580,2250.0,460.0,1.89,2.71,-1.83,0.49,12.31,2.19,-4.78,35.69,-211.11,6.85,-107.69
742,088260,이리츠코크렙,기타금융,2910,,,2.11,6.74,3.03,-1.61,,,,,,,
767,092130,이크레더블,기타금융,1777,,,2.71,4.02,16.4,13.54,,,,,,10.77,148.32
288,012700,리드코프,기타금융,1061,,,4.42,4.29,-7.49,-24.95,,,,,,2.49,27.4
407,030190,NICE평가정보,기타금융,7479,5715.0,945.0,5.19,5.63,11.54,23.72,9.65,17.65,6.82,8.87,1.97,3.66,36.31
488,038460,바이오스마트,기타금융,1032,,,31.06,30.2,9.58,-22.65,,,,,,,
789,095500,미래나노텍,디스플레이 소재,2549,,,1.23,4.45,-20.58,-51.65,,,,,,0.61,7.02
1112,272290,이녹스첨단소재,디스플레이 소재,4723,4356.0,1013.0,4.71,1.52,-4.89,-26.34,5.69,16.52,3.03,16.71,17.97,1.5,10.01
956,178920,PI첨단소재,디스플레이 소재,4863,,,5.41,0.3,-18.02,-20.77,,,,,,2.11,43.97
1011,213420,덕산네오룩스,디스플레이 소재,7660,2955.0,717.0,6.56,11.57,13.42,-19.24,12.05,14.75,39.19,36.57,38.86,,
843,108230,톱텍,디스플레이 장비,1606,,,0.36,-5.48,-19.22,-47.25,,,,,,3.55,16.06
1110,272110,케이엔제이,디스플레이 장비,1350,,,0.54,2.19,6.12,-16.27,,,,,,,
716,083930,아바코,디스플레이 장비,2041,3611.0,334.0,0.88,-6.1,-12.24,-22.26,6.83,13.77,18.2,58.29,17.8,3.65,28.47
941,161580,필옵틱스,디스플레이 장비,7460,,,1.56,-5.64,54.14,2.35,,,,,,,
991,204270,제이앤티씨,디스플레이 장비,8469,,,1.81,-12.65,-34.35,-30.62,,,,,,,
684,078150,HB테크놀러지,디스플레이 장비,1891,,,2.15,-3.32,-11.3,-44.41,,,,,,0.98,-3.6
893,126700,하이비젼시스템,디스플레이 장비,2407,3415.0,411.0,2.55,-1.35,-9.65,-21.61,6.88,12.63,9.46,32.58,-10.89,2.48,15.17
696,079810,디이엔티,디스플레이 장비,1282,,,4.11,8.58,-23.22,-53.22,,,,,,,
1096,265520,AP시스템,디스플레이 장비,2658,5563.0,617.0,4.44,0.06,-0.46,-50.29,4.42,15.77,7.66,30.72,16.02,3.05,15.64
850,109740,디에스케이,디스플레이 장비,1243,,,18.65,17.93,-4.64,-24.1,,,,,,,
878,122640,예스티,디스플레이 장비,3501,,,36.35,21.5,-14.56,-24.3,,,,,,,
932,149950,아바텍,디스플레이 패널,1290,,,1.1,-2.71,-29.07,-34.88,,,,,,2.42,35.09
443,034220,LG디스플레이,디스플레이 패널,42400,261860.0,5562.0,3.92,-6.92,-20.75,-20.08,-14.6,-4.51,-1.61,-199.22,-89.25,,
495,039340,한국경제TV,미디어,1311,,,0.34,-3.48,7.96,-0.68,,,,,,2.57,40.87
354,019680,대교,미디어,1876,6715.0,41.0,0.45,4.24,-3.28,-13.65,246.11,0.29,1.21,-356.25,-77.5,0.0,0.0
451,035000,HS애드,미디어,1166,,,0.86,5.07,10.0,9.49,,,,,,7.81,40.15
891,126560,현대퓨처넷,미디어,3151,,,0.88,-2.05,-27.13,-37.62,,,,,,3.85,174.6
655,068930,디지털대성,미디어,2078,2617.0,350.0,0.94,6.07,1.49,6.83,8.66,15.75,20.21,47.68,55.28,6.66,91.24
796,096240,크레버스,미디어,1577,,,1.07,-7.87,-10.15,-24.72,,,,,,10.59,223.21
1016,214320,이노션,미디어,7192,22178.0,1651.0,2.16,0.22,-10.06,-21.83,7.05,10.07,4.58,6.04,2.24,6.54,46.89
442,034120,SBS,미디어,3558,9865.0,312.0,3.17,5.79,25.85,-16.97,12.81,3.04,-5.75,-262.5,-8.58,,
