index,Code,Name,Sector,MarketCap,Sales (2025),OpIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,DivYield,DivPayout,Change5,Change20,Change120,Change240
240,009420,한올바이오파마,바이오/제약/신약개발,14522,1594.0,124.0,2.02,-1.77,-39.17,-21.36,97.2,8.2,14.76,6100.0,-933.33,,
586,054670,대한뉴팜,바이오/제약/신약개발,1006,,,2.04,2.49,-8.72,-12.48,,,,,,1.43,9.28
827,102460,이연제약,바이오/제약/신약개발,2124,,,2.05,-1.38,-30.01,-17.11,,,,,,,
545,048530,인트론바이오,바이오/제약/신약개발,1422,,,2.08,17.99,-28.68,-40.92,,,,,,2.4,-131.58
1022,214450,파마리서치,바이오/제약/신약개발,39463,4487.0,1704.0,2.18,11.26,60.13,192.22,31.13,23.46,28.16,35.13,57.03,0.29,12.83
238,009300,삼아제약,바이오/제약/신약개발,1071,,,2.19,4.8,-21.4,6.46,,,,,,4.76,23.08
920,141080,리가켐바이오,바이오/제약/신약개발,40820,1505.0,-370.0,2.2,18.49,-15.34,66.92,-255.15,-2.63,19.54,77.03,-305.13,,
643,067080,대화제약,바이오/제약/신약개발,3064,,,2.24,1.29,-2.6,49.5,,,,,,0.91,517.24
685,078160,메디포스트,바이오/제약/신약개발,3004,,,2.33,-1.9,32.03,24.19,,,,,,,
322,016580,환인제약,바이오/제약/신약개발,2170,2683.0,235.0,2.37,2.28,-11.05,-15.8,9.16,6.15,3.35,9.3,1.28,2.57,23.87
924,144510,지씨셀,바이오/제약/신약개발,3349,1763.0,-105.0,2.42,1.19,-37.28,-44.79,,,1.03,-47.5,,,
237,009290,광동제약,바이오/제약/신약개발,2888,,,2.61,1.29,-0.18,-19.44,,,,,,1.81,12.95
654,068760,셀트리온제약,바이오/제약/신약개발,21181,,,2.75,-4.53,-19.1,-44.81,,,,,,0.0,0.0
158,005250,녹십자홀딩스,바이오/제약/신약개발,6461,,,2.77,2.23,-12.82,-12.26,,,,,,3.64,103.09
91,003000,부광약품,바이오/제약/신약개발,2731,,,2.84,2.31,-18.49,-35.65,,,,,,,
100,003220,대원제약,바이오/제약/신약개발,3086,6673.0,415.0,2.92,0.15,-4.91,-8.08,9.35,11.69,11.55,47.16,266.67,2.18,47.32
420,032300,한국파마,바이오/제약/신약개발,1594,,,2.96,0.62,-33.85,-23.81,,,,,,0.34,14.37
350,019170,신풍제약,바이오/제약/신약개발,4132,,,3.04,2.77,-35.22,-44.76,,,,,,,
196,006620,동구바이오제약,바이오/제약/신약개발,1605,,,3.49,9.09,1.44,-17.66,,,,,,2.13,166.67
170,005690,파미셀,바이오/제약/신약개발,6049,1339.0,348.0,3.81,-1.27,102.21,73.2,18.06,32.3,106.32,640.43,439.68,0.2,19.05
1074,251120,바이오에프디엔씨,바이오/제약/신약개발,1243,,,3.92,7.92,-14.93,1.56,,,,,,,
1083,256840,한국비엔씨,바이오/제약/신약개발,2886,,,3.94,4.46,-14.23,-33.75,,,,,,,
76,002390,한독,바이오/제약/신약개발,1643,,,4.01,6.61,-19.32,-13.67,,,,,,1.68,-5.24
705,082270,젬백스,바이오/제약/신약개발,14988,,,4.02,4.02,165.2,209.93,,,,,,,
1069,246710,티앤알바이오팹,바이오/제약/신약개발,1152,,,4.29,25.29,-24.75,-35.07,,,,,,,
212,007390,네이처셀,바이오/제약/신약개발,17859,,,4.32,-0.89,62.28,210.4,,,,,,,
917,140410,메지온,바이오/제약/신약개발,11627,,,4.59,26.43,13.97,0.13,,,,,,,
1073,249420,일동제약,바이오/제약/신약개발,3325,,,4.59,7.83,-13.12,-23.2,,,,,,,
946,166480,코아스템켐온,바이오/제약/신약개발,1170,,,4.71,2.89,-74.15,-69.55,,,,,,,
1056,235980,메드팩토,바이오/제약/신약개발,1134,,,5.08,6.43,-39.49,-66.19,,,,,,,
565,052020,에스티큐브,바이오/제약/신약개발,4391,,,5.21,-2.27,14.54,4.13,,,,,,,
728,085660,차바이오텍,바이오/제약/신약개발,6448,,,5.53,11.75,-27.97,-28.38,,,,,,,
736,086820,바이오솔루션,바이오/제약/신약개발,2285,,,5.66,18.64,64.61,49.41,,,,,,,
926,145020,휴젤,바이오/제약/신약개발,45374,4544.0,2214.0,5.88,7.46,30.2,62.9,25.75,19.54,21.82,33.21,29.07,,
709,082850,우리바이오,바이오/제약/신약개발,1141,,,6.08,5.13,-33.85,-8.72,,,,,,,
726,084990,헬릭스미스,바이오/제약/신약개발,1205,,,8.96,10.81,-27.86,-38.9,,,,,,,
1001,206650,유바이오로직스,바이오/제약/신약개발,4493,,,9.53,7.89,-20.54,-10.61,,,,,,,
982,199800,툴젠,바이오/제약/신약개발,3341,,,9.85,20.9,-33.7,-40.83,,,,,,,
20,000520,삼일제약,바이오/제약/신약개발,2900,,,10.86,17.8,-15.43,42.84,,,,,,,
793,095700,제넥신,바이오/제약/신약개발,2179,,,11.02,16.85,-41.0,-35.51,,,,,,,
263,011000,진원생명과학,바이오/제약/신약개발,1824,,,11.76,12.87,0.0,-6.37,,,,,,,
215,007570,일양약품,바이오/제약/신약개발,2397,,,11.94,24.23,-1.41,-8.99,,,,,,1.19,28.57
85,002800,신신제약,바이오/제약/신약개발,1013,,,12.08,28.71,17.4,22.12,,,,,,0.9,18.63
863,115180,큐리언트,바이오/제약/신약개발,3302,,,15.38,17.38,111.18,139.72,,,,,,,
979,195940,HK이노엔,바이오/제약/신약개발,12365,,,16.71,21.59,-5.42,11.21,,,,,,0.8,16.1
513,041960,코미팜,바이오/제약/신약개발,4300,,,19.65,50.37,39.2,45.87,,,,,,,
995,204840,지엘팜텍,바이오/제약/신약개발,1032,,,30.29,30.93,24.37,4.03,,,,,,,
1026,215600,신라젠,바이오/제약/신약개발,5288,,,61.09,67.39,55.56,-10.92,,,,,,,
886,123860,아나패스,반도체,2421,,,4.34,3.47,10.94,-7.55,,,,,,,
595,058470,리노공업,반도체,29265,,,11.3,-1.65,6.02,-24.79,,,,,,1.56,40.38
476,036810,에프에스티,반도체 소재,4090,,,1.69,-6.8,1.86,-44.23,,,,,,0.0,0.0
835,104830,원익머트리얼즈,반도체 소재,2463,3384.0,600.0,3.22,-1.91,-10.16,-45.27,5.8,8.51,8.92,15.61,33.65,1.79,13.87
1066,241770,메카로,반도체 소재,1245,,,4.36,19.22,59.11,16.38,,,,,,1.23,27.73
678,077360,덕산하이메탈,반도체 소재,1931,,,4.42,3.91,-8.11,-41.14,,,,,,,
1076,251370,와이엠티,반도체 소재,1500,,,4.78,-0.86,12.47,-28.57,,,,,,,
602,059090,미코,반도체 소재,3411,,,5.15,12.82,3.44,-5.99,,,,,,,
857,112290,와이씨켐,반도체 소재,2274,,,5.63,13.87,38.04,-28.12,,,,,,,
818,101160,월덱스,반도체 소재,3011,,,6.05,-2.36,-3.54,-24.32,,,,,,0.33,1.52
766,092070,디엔에프,반도체 소재,1304,,,6.22,11.58,10.49,-49.23,,,,,,0.89,181.82
945,166090,하나머티리얼즈,반도체 소재,5646,2603.0,489.0,6.53,-11.61,-1.21,-47.52,16.24,9.11,3.46,12.67,9.43,0.88,15.57
676,074600,원익QnC,반도체 소재,4663,9398.0,1043.0,6.61,-4.98,-25.93,-44.13,9.0,10.75,5.42,15.12,2.93,0.56,5.17
1078,252990,샘씨엔에스,반도체 소재,2831,,,6.95,6.36,-15.36,-41.85,,,,,,,
627,064760,티씨케이,반도체 소재,10425,,,7.59,6.56,6.95,-28.22,,,,,,1.58,22.86
820,101490,에스앤에스텍,반도체 소재,7915,,,8.05,12.16,59.05,-14.68,,,,,,0.41,10.56
949,170920,엘티씨,반도체 소재,1028,,,11.04,13.47,-5.22,-33.63,,,,,,0.97,9.72
159,005290,동진쎄미켐,반도체 소재,15989,,,12.27,3.67,14.55,-29.64,,,,,,0.64,6.64
805,098460,고영,반도체 장비,9103,2491.0,332.0,0.38,-5.29,28.86,-21.31,20.31,14.01,23.01,906.06,113.33,1.06,45.75
1127,282880,코윈테크,반도체 장비,1493,2879.0,194.0,0.46,-1.74,-4.29,-42.12,8.48,9.56,17.8,438.89,67.27,1.49,13.74
1050,232140,와이씨,반도체 장비,8335,,,0.49,-10.48,-12.34,-27.17,,,,,,,
901,131290,티에스이,반도체 장비,4844,3733.0,521.0,0.69,-5.91,-18.28,-44.06,9.93,13.6,7.24,30.58,10.67,0.91,10.42
925,144960,뉴파워프라즈마,반도체 장비,2062,,,0.96,0.53,-2.78,-17.63,,,,,,1.06,11.44
963,183300,코미코,반도체 장비,6569,5747.0,1238.0,1.29,9.98,26.49,-30.3,10.77,20.77,13.33,10.04,9.34,1.59,18.73
752,089890,코세스,반도체 장비,1225,,,2.07,0.68,-15.06,-50.9,,,,,,,
938,160980,싸이맥스,반도체 장비,1268,,,2.74,7.6,5.35,-46.5,,,,,,3.01,24.81
693,079370,제우스,반도체 장비,4156,5525.0,569.0,3.0,-4.9,3.16,-22.0,8.28,13.68,12.57,15.65,17.4,0.75,7.41
903,131970,두산테스나,반도체 장비,4793,3513.0,305.0,3.55,-5.34,-14.63,-49.64,20.39,5.22,-5.84,-19.53,-36.14,0.65,8.41
1061,240810,원익IPS,반도체 장비,11436,8986.0,743.0,3.56,-5.48,-17.23,-37.87,18.08,6.9,20.1,600.94,205.8,0.21,11.82
711,083310,엘오티베큠,반도체 장비,1610,,,4.03,-2.27,-6.22,-55.36,,,,,,,
491,039030,이오테크닉스,반도체 장비,14857,3980.0,630.0,4.15,-14.47,-30.05,-50.57,20.35,11.68,24.03,101.92,68.62,0.41,14.38
713,083450,GST,반도체 장비,3280,3460.0,590.0,4.22,-6.12,13.38,-28.17,7.29,17.34,-0.06,-0.17,,1.69,12.31
720,084370,유진테크,반도체 장비,8043,4581.0,877.0,4.78,-10.46,-1.4,-35.6,10.69,17.26,35.49,43.3,18.35,0.66,8.33
775,092870,엑시콘,반도체 장비,1412,,,4.84,-7.12,-7.99,-46.9,,,,,,0.92,-89.29
479,036930,주성엔지니어링,반도체 장비,17394,4287.0,1213.0,5.14,-5.03,18.52,7.76,15.97,17.31,4.71,24.79,2.06,0.78,12.84
666,071280,로체시스템즈,반도체 장비,2294,,,5.49,-5.78,-22.92,30.21,,,,,,0.33,6.31
623,064290,인텍플러스,반도체 장비,1340,1146.0,41.0,5.68,10.03,-17.56,-66.17,29.77,9.7,36.59,-126.28,-137.82,,
466,036200,유니셈,반도체 장비,1885,2520.0,230.0,5.85,-3.45,-12.64,-44.14,7.85,10.04,15.49,130.0,54.84,1.3,15.78
788,095340,ISC,반도체 장비,11213,2144.0,604.0,8.4,-4.34,-16.3,-34.77,18.71,11.01,22.87,34.82,9.65,1.53,31.41
579,053610,프로텍,반도체 장비,2623,1764.0,258.0,8.66,7.43,-29.02,-41.33,11.17,7.6,3.58,92.54,85.04,1.68,20.29
791,095610,테스,반도체 장비,4368,3052.0,555.0,8.87,1.84,35.67,-10.71,9.03,14.13,27.11,44.16,13.35,2.71,27.8
98,003160,디아이,반도체 장비,4188,4175.0,527.0,9.79,8.42,-26.18,-29.69,9.64,25.01,95.09,1600.0,1560.71,0.68,256.41
607,060310,3S,반도체 장비,1321,,,10.18,11.91,16.08,-4.23,,,,,,,
746,089030,테크윙,반도체 장비,12999,4371.0,1085.0,10.3,2.2,-16.04,4.19,17.51,31.8,135.63,363.68,-440.91,0.37,-23.26
919,140860,파크시스템스,반도체 장비,15098,2133.0,548.0,10.37,3.85,3.35,45.75,29.67,24.25,21.82,42.34,19.16,0.23,8.15
496,039440,에스티아이,반도체 장비,3498,5042.0,595.0,11.28,3.03,8.6,-39.53,6.43,19.21,50.96,117.95,100.37,0.9,11.67
731,086390,유니테스트,반도체 장비,2197,,,12.19,-8.05,2.46,-27.93,,,,,,,
1124,281820,케이씨텍,반도체 장비,5389,,,12.28,-23.27,-23.04,-29.69,,,,,,1.04,10.69
1080,253590,네오셈,반도체 장비,4549,,,14.21,4.64,-11.82,-11.29,,,,,,0.58,13.7
115,003570,SNT다이내믹스,방위산업,11256,7332.0,865.0,0.45,13.02,28.71,104.66,14.16,10.06,19.32,-21.72,-17.27,3.84,44.97
632,065450,빅텍,방위산업,1166,,,0.74,0.99,-19.41,-14.32,,,,,,0.74,22.56
807,099320,쎄트렉아이,방위산업,4818,2044.0,105.0,0.92,-1.01,17.02,-13.56,35.6,5.83,19.32,-438.71,87.1,0.43,26.32
540,047810,한국항공우주,방위산업,80416,41018.0,3251.0,2.61,10.44,42.73,53.63,30.53,14.44,12.88,35.06,55.3,0.61,28.33
1111,272210,한화시스템,방위산업,75756,35387.0,2325.0,3.75,25.51,107.56,97.05,36.49,8.05,26.22,6.02,-54.36,0.87,14.55
695,079550,LIG넥스원,방위산업,68530,37962.0,2989.0,8.35,28.19,25.6,82.16,26.35,21.31,15.87,30.07,16.48,0.77,23.81
121,003690,코리안리,보험,15488,,,0.51,-3.52,2.16,15.08,,,,,,6.48,31.69
727,085620,미래에셋생명,보험,9027,,,1.59,14.48,-3.04,2.93,,,,,,,
15,000400,롯데손해보험,보험,5312,,,1.66,-4.62,-24.58,-51.43,,,,,,,
28,000810,삼성화재,보험,170786,,28172.0,2.41,0.98,1.41,16.48,8.66,13.13,,6.33,4.17,5.27,46.33
174,005830,DB손해보험,보험,61879,,,2.58,-1.02,-23.06,-12.34,,,,,,7.78,26.0
13,000370,한화손해보험,보험,4681,,,3.08,-0.62,-15.67,-20.44,,,,,,,
743,088350,한화생명,보험,22408,,9890.0,3.41,0.39,-11.79,-12.54,,,,-9.85,-16.86,,
706,082640,동양생명,보험,9923,,,3.54,20.12,3.71,14.74,,,,,,,
426,032830,삼성생명,보험,165600,,27444.0,4.02,-2.93,-19.22,-6.55,7.29,7.25,,9.78,8.37,5.43,42.72
1009,211050,인카금융서비스,보험,4017,8620.0,940.0,4.55,10.61,55.16,62.92,5.58,48.54,3.57,8.92,,1.28,8.29
21,000540,흥국화재,보험,2197,,,4.59,-2.84,0.59,-23.32,,,,,,,
124,003830,대한화섬,섬유,1467,,,1.47,-0.99,-6.12,0.0,,,,,,0.68,-39.94
117,003610,방림,섬유,1563,,,2.1,5.14,21.18,85.68,,,,,,1.54,333.33
102,003240,태광산업,섬유/의류,8127,,,9.28,9.61,12.65,10.94,,,,,,0.24,0.91
1008,210980,SK디앤디,신재생에너지,1675,4759.0,1383.0,6.26,9.62,12.08,-24.75,1.62,14.87,-45.36,157.54,134.16,6.67,26.57
858,112610,씨에스윈드,신재생에너지,16067,30813.0,3076.0,7.32,7.93,-32.09,-29.57,8.01,16.65,0.29,20.39,41.48,2.62,29.64
890,126340,비나텍,신재생에너지,1644,718.0,19.0,7.72,10.26,-24.51,-43.93,-409.52,-0.48,20.47,-123.46,-95.88,0.0,-0.0
811,100090,SK오션플랜트,신재생에너지,9039,10672.0,646.0,10.81,18.37,15.51,12.44,22.46,5.54,61.06,54.55,142.6,,
340,018000,유니슨,신재생에너지,2241,,,12.89,69.77,90.69,39.37,,,,,,,
872,119850,지엔씨에너지,신재생에너지,3659,3100.0,450.0,15.89,55.05,341.47,178.47,9.63,23.92,36.99,41.96,0.26,0.45,4.27
1126,282720,금양그린파워,신재생에너지,1291,,,19.78,30.48,2.4,-31.71,,,,,,,
248,009830,한화솔루션,신재생에너지,51223,137438.0,5548.0,33.93,55.37,36.07,13.31,-80.98,-0.67,10.89,-284.81,-97.85,1.01,-3.73
463,035900,JYP Ent.,엔터테인먼트,22527,7197.0,1463.0,0.16,3.43,26.8,-6.35,17.12,24.62,19.59,14.03,33.88,0.84,19.41
740,086980,쇼박스,엔터테인먼트,1991,,,0.16,5.3,-28.46,-11.54,,,,,,4.72,34.25
546,048550,SM C&C,엔터테인먼트,1392,,,0.49,3.9,-15.29,-14.84,,,,,,,
509,041510,에스엠,엔터테인먼트,26786,11352.0,1385.0,0.6,9.35,65.25,45.52,26.62,14.09,14.7,58.65,12725.0,0.34,51.41
859,114090,GKL,엔터테인먼트,7422,4358.0,577.0,1.01,10.7,7.91,-15.85,15.11,11.5,9.94,50.65,43.2,2.35,52.81
541,047820,초록뱀미디어,엔터테인먼트,1247,,,1.19,-5.56,-5.56,-5.56,,,,,,,
999,206560,덱스터,엔터테인먼트,1664,,,1.55,9.9,-15.27,-6.96,,,,,,,
1079,253450,스튜디오드래곤,엔터테인먼트,13721,6464.0,526.0,2.13,-8.33,13.56,7.54,31.64,5.7,17.51,44.51,30.15,,
610,060570,드림어스컴퍼니,엔터테인먼트,1246,,,2.17,1.17,-26.59,-40.29,,,,,,,
525,043610,KT지니뮤직,엔터테인먼트,1243,3332.0,180.0,2.64,14.56,-13.36,-31.85,12.09,6.04,10.48,47.54,-200.0,,
722,084680,이월드,엔터테인먼트,2033,,,2.72,15.18,-27.25,-26.54,,,,,,,
468,036420,콘텐트리중앙,엔터테인먼트,1685,10183.0,92.0,3.67,7.49,-7.89,-35.94,-8.42,-25.87,15.78,-119.41,-70.62,,
692,079160,CJ CGV,엔터테인먼트,7873,24187.0,1265.0,4.28,1.71,-14.17,-18.3,-339.64,-0.33,23.54,66.67,-100.06,,
1133,289930,웨이비스,엔터테인먼트,1097,,,5.41,15.55,-15.67,,,,,,,,
985,200350,아티스트스튜디오,엔터테인먼트,1737,,,5.65,26.68,20.53,41.88,,,,,,,
621,064090,인크레더블버즈,엔터테인먼트,1944,,,7.12,44.81,5.11,39.64,,,,,,,
548,048910,대원미디어,엔터테인먼트,1371,3355.0,164.0,8.46,5.93,35.4,7.07,11.15,11.94,30.85,925.0,-862.5,,
690,078860,엔에스이엔엠,엔터테인먼트,1015,,,9.69,20.42,-5.21,123.24,,,,,,,
527,044450,KSS해운,운송/항공/물류,2091,,,0.11,4.98,-2.27,11.17,,,,,,4.42,16.08
889,124560,태웅로직스,운송/항공/물류,1097,,,1.05,1.22,1.58,-12.27,,,,,,3.45,14.81
110,003490,대한항공,운송/항공/물류,76589,244180.0,21007.0,1.22,-5.24,-13.87,-1.19,5.73,12.17,36.64,-0.45,1.86,3.61,21.03
790,095570,AJ네트웍스,운송/항공/물류,1696,10596.0,879.0,1.9,1.63,-23.63,-21.05,5.46,7.2,4.48,20.74,43.98,7.2,56.13
492,039130,하나투어,운송/항공/물류,8212,7122.0,655.0,1.99,-5.54,8.59,-17.02,13.56,35.12,15.5,28.68,-28.15,4.49,45.28
164,005430,한국공항,운송/항공/물류,1497,,,2.27,-4.44,-17.6,-31.45,,,,,,2.11,7.8
96,003100,선광,운송/항공/물류,1074,,,2.52,1.56,3.23,-9.56,,,,,,2.76,10.43
73,002320,한진,운송/항공/물류,2844,31365.0,1375.0,2.59,-1.4,-0.1,-9.81,5.69,3.59,4.01,37.36,-7100.0,3.15,-209.79
487,038390,레드캡투어,운송/항공/물류,1708,,,2.82,8.38,28.96,34.65,,,,,,21.04,181.74
138,004360,세방,운송/항공/물류,2220,,,2.86,1.5,-4.09,-4.17,,,,,,2.61,8.07
1053,234300,에스트래픽,운송/항공/물류,1095,,,2.98,8.89,-6.68,-1.49,,,,,,1.51,27.91
748,089590,제주항공,운송/항공/물류,5483,19236.0,857.0,3.34,-0.29,-25.27,-38.85,6.99,21.49,-0.63,7.26,261.75,,
647,067390,아스트,운송/항공/물류,2280,,,3.96,-3.83,7.65,-46.38,,,,,,,
274,011760,현대코퍼레이션,운송/항공/물류,2956,72524.0,1377.0,5.18,-0.22,16.71,28.97,2.72,14.85,3.67,3.15,-10.25,3.13,7.65
764,091810,티웨이항공,운송/항공/물류,4695,17344.0,500.0,5.31,0.0,-34.14,-19.26,19.46,22.0,12.86,-506.5,-136.72,,
839,105840,우진,원자력,1585,,,1.29,10.41,-6.88,-6.44,,,,,,3.18,37.31
570,052690,한전기술,원자력,24651,5971.0,576.0,3.2,9.51,-10.42,-1.38,25.72,15.8,7.9,5.11,63.93,1.55,65.25
651,068240,다원시스,원자력,3358,,,5.77,-5.78,-19.04,-33.58,,,,,,,
199,006730,서부T&D,유통,3771,1984.0,513.0,0.35,2.51,-6.54,-23.12,4.53,8.99,5.81,6.88,114.53,1.75,19.46
41,001250,GS글로벌,유통,2166,,,0.57,-0.57,-19.35,6.71,,,,,,0.95,3.81
662,069960,현대백화점,유통,13169,43304.0,3804.0,0.87,-2.35,27.07,10.65,6.25,4.7,3.41,33.94,-31500.0,2.41,-90.73
592,057050,현대홈쇼핑,유통,5892,38292.0,1563.0,1.03,-0.1,3.92,-9.58,4.53,5.78,-0.63,20.14,-18.48,5.7,21.31
86,002810,삼영무역,유통,2498,,,1.12,-0.37,6.54,2.97,,,,,,5.17,22.78
228,008770,호텔신라,유통,15346,42610.0,673.0,1.3,-2.62,-9.8,-33.5,44.43,2.99,7.94,-1394.23,-157.24,,
116,003580,HLB글로벌,유통,1534,,,1.33,-7.98,-24.75,-55.6,,,,,,,
880,122900,아이마켓코리아,유통,2657,,,1.4,2.19,-4.56,-5.81,,,,,,7.55,74.44
37,001120,LX인터내셔널,유통,10155,166963.0,4179.0,2.14,3.56,-11.04,-7.42,4.53,8.38,0.35,-14.57,14.1,7.63,44.12
700,080160,모두투어,유통,2135,2721.0,201.0,2.26,6.81,14.26,-31.52,11.07,24.42,8.15,327.66,101.85,2.21,43.48
204,007070,GS리테일,유통,12106,120697.0,2756.0,2.77,-1.36,-18.61,-15.18,8.02,4.22,3.81,15.27,1481.63,3.45,2000.0
557,051160,지어소프트,유통,1473,,,3.14,2.92,0.63,26.76,,,,,,,
367,023530,롯데쇼핑,유통,18953,141953.0,5871.0,3.4,5.51,3.72,-4.01,8.5,1.47,1.49,24.1,-123.05,5.67,-11.1
58,001740,SK네트웍스,유통,9437,77752.0,1393.0,3.77,-3.29,-18.14,-17.82,14.91,3.08,1.54,22.3,37.37,7.03,140.19
915,139480,이마트,유통,25450,297377.0,4454.0,4.22,12.3,43.78,42.66,12.36,1.94,2.47,845.65,-135.4,2.19,-9.45
421,032350,롯데관광개발,유통/소매,7322,5642.0,873.0,0.1,20.58,-0.1,-4.28,-33.84,-6.26,19.66,123.85,-81.39,,
1125,282330,BGF리테일,유통/소매,18199,91206.0,2688.0,0.29,-3.39,-6.57,-19.0,8.83,16.46,4.85,6.84,5.53,3.89,36.3
464,036030,케이티알파,유통/소매,1911,,,0.39,6.7,-5.11,-22.77,,,,,,,
751,089860,롯데렌탈,유통/소매,10620,30034.0,3245.0,1.04,2.63,2.63,8.74,7.51,9.32,7.56,13.94,33.59,4.1,41.14
575,053280,예스24,유통/소매,1090,,,1.28,6.86,-28.99,-5.53,,,,,,4.59,344.83
484,037710,광주신세계,유통/소매,2204,,,1.47,-0.18,-5.78,-10.79,,,,,,7.94,37.91
70,002200,한국수출포장,유통/소매,1116,,,2.01,2.01,5.88,3.33,,,,,,2.87,94.12
416,031430,신세계인터내셔날,유통/소매,3453,13599.0,445.0,2.09,-1.91,-23.13,-46.17,7.94,5.03,3.92,66.04,34.25,4.09,43.96
454,035250,강원랜드,유통/소매,34209,14687.0,2995.0,2.11,-4.54,-6.71,5.27,9.89,8.76,2.93,4.79,-27.95,7.32,54.78
650,067990,도이치모터스,유통/소매,1356,,,2.2,5.44,-0.32,-12.1,,,,,,8.17,-237.5
668,071840,롯데하이마트,유통/소매,1754,,,2.77,3.05,-5.83,-21.79,,,,,,4.04,-2.32
392,027410,BGF,유통/소매,3441,4400.0,570.0,4.05,4.2,0.7,-4.26,5.73,3.44,1.36,3.26,-28.27,3.62,13.5
405,029960,코엔텍,유틸리티,4347,,,0.11,0.45,20.73,27.1,,,,,,,
446,034590,인천도시가스,유틸리티,1074,,,0.82,-0.61,-3.91,-3.35,,,,,,5.09,28.38
325,016710,대성홀딩스,유틸리티,1145,,,0.99,1.42,-8.6,-21.41,,,,,,3.51,12.53
155,005090,SGC에너지,유틸리티,3314,25948.0,1900.0,1.1,1.77,-17.27,-7.82,4.68,9.11,10.18,0.21,110.31,7.39,37.68
867,117580,대성에너지,유틸리티,2147,,,1.17,1.43,-14.55,-9.82,,,,,,3.2,39.81
604,060150,인선이엔티,유틸리티,2393,,,1.98,1.18,-7.55,-21.17,,,,,,,
338,017940,E1,유틸리티,4198,136967.0,2455.0,2.0,2.0,-18.18,-12.07,3.88,6.33,22.38,12.82,73.78,5.64,37.65
1100,267290,경동도시가스,유틸리티,1040,,,2.44,0.4,-5.46,-8.55,,,,,,4.96,18.02
144,004690,삼천리,유틸리티,3690,,,2.71,3.76,1.79,-0.98,,,,,,3.3,12.0
667,071320,지역난방공사,유틸리티,6020,36565.0,3474.0,3.17,3.38,10.99,24.11,2.89,8.79,2.41,5.95,-0.81,7.46,21.37
649,067900,와이엔텍,유틸리티,1177,,,3.19,1.57,-0.31,-10.51,,,,,,1.08,4.07
469,036460,한국가스공사,유틸리티,34894,371971.0,25681.0,3.85,7.23,-4.3,37.45,3.51,8.88,-3.1,-14.49,-12.98,3.85,11.71
316,015760,한국전력,유틸리티,162095,973740.0,135551.0,3.91,14.25,9.54,18.54,2.23,16.79,4.26,62.05,102.27,0.84,3.92
375,024110,기업은행,은행,119374,192574.0,37383.0,2.67,2.96,3.03,7.31,4.31,7.95,1.6,4.01,4.6,7.11,32.12
187,006220,제주은행,은행,3694,,,3.6,52.12,36.42,-22.61,,,,,,0.87,30.86
735,086790,하나금융지주,은행,175791,242762.0,51203.0,4.08,-0.16,-5.85,2.51,4.5,8.88,0.66,5.46,3.85,5.88,27.97
588,055550,신한지주,은행,250464,286365.0,68772.0,4.41,4.08,-12.26,6.19,5.11,8.52,-1.96,6.48,10.12,4.34,24.71
837,105560,KB금융,은행,341976,307579.0,75869.0,5.46,10.42,-9.01,13.45,6.29,9.14,0.87,-5.7,7.39,3.65,24.98
126,003920,남양유업,음식료,4451,,,0.14,2.25,10.17,40.7,,,,,,0.14,357.14
1103,267980,매일유업,음식료,2851,18508.0,797.0,0.14,1.11,-5.09,-10.47,4.82,9.76,2.18,13.37,30.55,3.44,21.57
905,136480,하림,음식료,3260,,,0.16,2.33,7.91,0.99,,,,,,,
214,007540,샘표,음식료,1207,,,0.48,1.45,-4.65,-15.32,,,,,,0.48,8.76
1114,272550,삼양패키징,음식료,2085,,,1.04,-2.72,-16.2,-20.42,,,,,,3.68,38.61
560,051500,CJ프레시웨이,음식료,2789,34737.0,1087.0,1.08,1.51,30.99,3.07,4.47,15.41,7.72,15.64,145.62,1.91,20.6
393,027710,팜스토리,음식료,1372,,,1.15,2.75,-4.72,-22.66,,,,,,2.03,71.43
906,136490,선진,음식료,1414,,,1.19,8.58,-11.06,-18.16,,,,,,1.68,43.48
150,004970,신라교역,음식료,1454,,,1.22,5.33,-4.01,3.06,,,,,,5.5,20.2
390,026960,동서,음식료,26071,,,1.75,-7.27,11.04,36.55,,,,,,3.4,56.44
894,126720,수산인더스트리,음식료,2818,,,1.81,1.49,-12.7,-14.59,,,,,,4.05,29.07
821,101530,해태제과식품,음식료,2058,,,1.87,6.32,22.96,32.65,,,,,,3.54,22.94
803,097950,CJ제일제당,음식료,36656,303338.0,16287.0,1.88,-4.32,-11.13,-27.2,7.62,6.53,3.32,4.87,116.39,2.46,66.33
56,001680,대상,음식료,8298,44323.0,2041.0,2.13,1.91,19.15,9.11,7.34,8.0,4.16,15.38,24.41,3.55,32.16
160,005300,롯데칠성,음식료,10178,41998.0,2219.0,2.24,0.92,-7.27,-14.23,8.83,8.09,4.36,20.01,112.33,3.1,57.84
371,023900,풍국주정,음식료,1141,,,2.49,3.31,-10.39,-24.25,,,,,,1.77,25.04
1095,264900,크라운제과,음식료,1065,,,2.78,5.71,1.07,3.91,,,,,,3.29,22.19
38,001130,대한제분,음식료,2225,,,2.81,2.41,-0.45,-4.22,,,,,,2.66,12.14
62,001800,오리온홀딩스,음식료,10775,34334.0,5774.0,3.68,6.7,3.61,15.51,6.95,6.39,7.45,14.07,-3.65,4.65,31.2
